crime_id,entity,entity_classification
68dfc66e683a08656f3724e7,8c,small
68dfc66e683a08656f3724e7,20biia,small
68dfc66e683a08656f3724e7,20,small
68dff3f2683a087a783ae515,8c,small
68dff3f2683a087a783ae515,20biib,intermediate
68dff3f2683a087a783ae515,20,small
68dfff3c68465841562d036e,20biib,intermediate
68dfff3c68465841562d036e,20,small
68e02a6f683a086dcb3ca8e6,8b,intermediate
68e02a6f683a086dcb3ca8e6,8,small
68e02a6f683a086dcb3ca8e6,20ai,cultivation
68e02a6f683a086dcb3ca8e6,20,small
68e04566df15552480d3ad20,20biia,small
68e04566df15552480d3ad20,20,small
68e06789df155587fcd6dc4d,8c,small
68e06789df155587fcd6dc4d,20biia,small
68e06789df155587fcd6dc4d,20,small
68e06789df155587fcd6dc4d,27b,small
68e06789df155587fcd6dc4d,27,small
68e0922e3789c26c1701d343,8b,intermediate
68e0922e3789c26c1701d343,8,small
68e0922e3789c26c1701d343,20ai,cultivation
68e0922e3789c26c1701d343,20,small
68e0a382cce91c8e9cda40a3,20a,cultivation
68e0a382cce91c8e9cda40a3,20biib,intermediate
68e0a382cce91c8e9cda40a3,20,small
68e0a382cce91c8e9cda40a3,29,small
68e0c90ddf1555944ced44f8,27a,small
68e0c90ddf1555944ced44f8,27,small
68e13e794ab91298b2b01fce,27,small
68e26be6515d745067567276,8c,small
68e26be6515d745067567276,20biia,small
68e26be6515d745067567276,20,small
68e2b3a668465856e7820506,8c,small
68e2b3a668465856e7820506,20ai,cultivation
68e2b3a668465856e7820506,20,small
68e2b3a668465856e7820506,27b,small
68e2b3a668465856e7820506,27,small
68e2b77cb0359f30641cbf6e,8c,small
68e2b77cb0359f30641cbf6e,20ai,cultivation
68e2b77cb0359f30641cbf6e,20,small
68e2b77cb0359f30641cbf6e,27b,small
68e2b77cb0359f30641cbf6e,27,small
68e2b9c84ab9124f61c71aba,8c,small
68e2b9c84ab9124f61c71aba,20biia,small
68e2b9c84ab9124f61c71aba,20,small
68e2b9c84ab9124f61c71aba,27,small
68e2cf8f4ab91258f3c734f3,27b,small
68e2cf8f4ab91258f3c734f3,27,small
68e31bdc683a0811288c09d2,27,small
68e31bdc683a0811288c09d2,34,small
68e31bdc683a0811288c09d2,223,small
68e31bdc683a0811288c09d2,292,small
68e31bdc683a0811288c09d2,293,small
68e32a22515d745033600c14,20biia,small
68e32a22515d745033600c14,20,small
68e32a22515d745033600c14,27,small
68e32a22515d745033600c14,8c,small
68e35d76b0359f597c3219d2,8c,small
68e35d76b0359f597c3219d2,20biia,small
68e35d76b0359f597c3219d2,20,small
68e35d76b0359f597c3219d2,27,small
68e3c823df15551a0973967f,8c,small
68e3c823df15551a0973967f,20biia,small
68e3c823df15551a0973967f,20,small
68e3c823df15551a0973967f,27,small
68e3d264b0359f11646e29f7,8c,small
68e3d264b0359f11646e29f7,20biib,intermediate
68e3d264b0359f11646e29f7,20,small
68e3dbc74ab912707e029b45,8c,small
68e3dbc74ab912707e029b45,20biib,intermediate
68e3dbc74ab912707e029b45,20,small
68e3dbc74ab912707e029b45,29,small
68e3e44adf155512747595b2,8c,small
68e3e44adf155512747595b2,20biib,intermediate
68e3e44adf155512747595b2,20,small
68e40f5eb0359f4ed1713083,8c,small
68e40f5eb0359f4ed1713083,20biia,small
68e40f5eb0359f4ed1713083,20,small
68e471c4684658ef25c304f0,8c,small
68e471c4684658ef25c304f0,20biia,small
68e471c4684658ef25c304f0,20,small
68e471c4684658ef25c304f0,27a,small
68e471c4684658ef25c304f0,27,small
68e4d78b81b57624554da10a,8c,small
68e4d78b81b57624554da10a,20biia,small
68e4d78b81b57624554da10a,20,small
68e4d78b81b57624554da10a,27b,small
68e4d78b81b57624554da10a,27,small
68e4fb26515d740435d4b8f2,8c,small
68e4fb26515d740435d4b8f2,20biic,commercial
68e4fb26515d740435d4b8f2,20,small
68e4fb26515d740435d4b8f2,29,small
68e4fe24683a086a3c178e73,8c,small
68e4fe24683a086a3c178e73,20biib,intermediate
68e4fe24683a086a3c178e73,20,small
68e4fe24683a086a3c178e73,27,small
68e4fe24683a086a3c178e73,29,small
68e4ff5481b5761f1b5d76c1,8c,small
68e4ff5481b5761f1b5d76c1,20biic,commercial
68e4ff5481b5761f1b5d76c1,20,small
68e4ff5481b5761f1b5d76c1,29,small
68e51f3f3789c2206ca97c24,8c,small
68e51f3f3789c2206ca97c24,20biia,small
68e51f3f3789c2206ca97c24,20,small
68e5b33281b576d7636d05c4,8c,small
68e5b33281b576d7636d05c4,15b,intermediate
68e5b33281b576d7636d05c4,15,small
68e5e0593789c23c25b036b5,27b,small
68e5e0593789c23c25b036b5,27,small
68e5eb1cb0359faa09b5e641,8c,small
68e5eb1cb0359faa09b5e641,20biib,intermediate
68e5eb1cb0359faa09b5e641,20,small
68e63b5ecce91c6906dbb491,8c,small
68e63b5ecce91c6906dbb491,20biia,small
68e63b5ecce91c6906dbb491,20,small
68e640bd68465811773f8066,8c,small
68e640bd68465811773f8066,20biib,intermediate
68e640bd68465811773f8066,20,small
68e640bd68465811773f8066,27b,small
68e6466d23a3d16bc7296f26,8c,small
68e6466d23a3d16bc7296f26,20biia,small
68e6466d23a3d16bc7296f26,20,small
68e6466d23a3d16bc7296f26,27b,small
68e6466d23a3d16bc7296f26,27,small
68e6652923a3d13cd6395d2c,8c,small
68e6652923a3d13cd6395d2c,20biia,small
68e6652923a3d13cd6395d2c,20,small
68e6acc781b576156bc30915,8b,intermediate
68e6acc781b576156bc30915,8,small
68e6acc781b576156bc30915,20bi,intermediate
68e6acc781b576156bc30915,20,small
68e6af061fd7a8dab06ad2f1,8c,small
68e6af061fd7a8dab06ad2f1,20biib,intermediate
68e6af061fd7a8dab06ad2f1,20,small
68e70a074ab9129f568ed796,20biia,small
68e70a074ab9129f568ed796,20,small
68e725ea3789c28705059ff4,8c,small
68e725ea3789c28705059ff4,22c,commercial
68e725ea3789c28705059ff4,22,small
68e725ea3789c28705059ff4,27a,small
68e725ea3789c28705059ff4,29,small
68e72e40b0359f333207a685,20biib,intermediate
68e72e40b0359f333207a685,20,small
68e7477223a3d13d1b49217f,8c,small
68e7477223a3d13d1b49217f,20biia,small
68e7477223a3d13d1b49217f,20,small
68e7477223a3d13d1b49217f,27b,small
68e7477223a3d13d1b49217f,27,small
68e787c8df1555b451255f87,8c,small
68e787c8df1555b451255f87,20biib,intermediate
68e787c8df1555b451255f87,20,small
68e787c8df1555b451255f87,27,small
68e7f1ee1fd7a84b4ba9c827,8c,small
68e7f1ee1fd7a84b4ba9c827,20ai,cultivation
68e7f1ee1fd7a84b4ba9c827,20,small
68e7f1ee1fd7a84b4ba9c827,27b,small
68e7f1ee1fd7a84b4ba9c827,27,small
68e7f48edf1555473c42ae65,8c,small
68e7f48edf1555473c42ae65,20biia,small
68e7f48edf1555473c42ae65,20,small
68e8014481b57646e9173c33,20biia,small
68e8014481b57646e9173c33,20,small
68e8014481b57646e9173c33,27b,small
68e8014481b57646e9173c33,27,small
68e861d3684658489d9f66fc,8b,intermediate
68e861d3684658489d9f66fc,8,small
68e861d3684658489d9f66fc,20ai,cultivation
68e861d3684658489d9f66fc,20,small
68e894623789c2b85f620b34,8c,small
68e894623789c2b85f620b34,21c,commercial
68e894623789c2b85f620b34,21,small
68e894623789c2b85f620b34,25,small
68e894623789c2b85f620b34,25a,small
68e894623789c2b85f620b34,27a,small
68e894623789c2b85f620b34,27,small
68e894623789c2b85f620b34,29,small
68e89be668465893a3a585ed,8b,intermediate
68e89be668465893a3a585ed,8,small
68e89be668465893a3a585ed,20ai,cultivation
68e89be668465893a3a585ed,20,small
68e89be668465893a3a585ed,20biia,small
68e8ad3d3789c2c6e56ee109,8c,small
68e8ad3d3789c2c6e56ee109,20biic,commercial
68e8ad3d3789c2c6e56ee109,20,small
68e8b559b0359f01ec558a63,8b,intermediate
68e8b559b0359f01ec558a63,8,small
68e8b559b0359f01ec558a63,8c,small
68e8b559b0359f01ec558a63,20ai,cultivation
68e8b559b0359f01ec558a63,20,small
68e8b559b0359f01ec558a63,20b,intermediate
68e8da43515d740b12adb60d,8c,small
68e8da43515d740b12adb60d,20biia,small
68e8da43515d740b12adb60d,20,small
68e8da43515d740b12adb60d,27b,small
68e8da43515d740b12adb60d,27,small
68e9072e81b576dc665e35cf,8c,small
68e9072e81b576dc665e35cf,27,small
68e9072e81b576dc665e35cf,20biia,small
68e9072e81b576dc665e35cf,20,small
68e90e5b683a0863eb0505fe,17c,commercial
68e90e5b683a0863eb0505fe,17,small
68e90e5b683a0863eb0505fe,18b,intermediate
68e90e5b683a0863eb0505fe,18,small
68e921f5b0359f36b682bef0,27b,small
68e921f5b0359f36b682bef0,27,small
68e943f33789c2ada8ac993b,8c,small
68e943f33789c2ada8ac993b,20biia,small
68e943f33789c2ada8ac993b,20,small
68e9476c81b57617c562a056,8c,small
68e9476c81b57617c562a056,20biia,small
68e9476c81b57617c562a056,20,small
68e9489223a3d1c7a8e3b71c,8c,small
68e9489223a3d1c7a8e3b71c,20biia,small
68e9489223a3d1c7a8e3b71c,20,small
68ea28a623a3d1825501362e,8c,small
68ea28a623a3d1825501362e,20biib,intermediate
68ea28a623a3d1825501362e,20,small
68ea28a623a3d1825501362e,27b,small
68ea342d3789c24ecddd8e99,8c,small
68ea342d3789c24ecddd8e99,20biic,commercial
68ea342d3789c24ecddd8e99,20,small
68ea342d3789c24ecddd8e99,27a,small
68ea342d3789c24ecddd8e99,29,small
68ea37bc4ab91259435732e5,8c,small
68ea37bc4ab91259435732e5,20biib,intermediate
68ea37bc4ab91259435732e5,20,small
68ea37bc4ab91259435732e5,29,small
68ea3f4d1fd7a8e6aa19391b,8c,small
68ea3f4d1fd7a8e6aa19391b,20biia,small
68ea3f4d1fd7a8e6aa19391b,20,small
68ea415c81b576fedd8c64fb,8c,small
68ea415c81b576fedd8c64fb,20biia,small
68ea415c81b576fedd8c64fb,20,small
68ea578a683a087f324626e2,20biia,small
68ea578a683a087f324626e2,20,small
68ea60aa23a3d16c2b0ac868,8c,small
68ea60aa23a3d16c2b0ac868,20biia,small
68ea60aa23a3d16c2b0ac868,20,small
68ea60aa23a3d16c2b0ac868,27b,small
68ea60aa23a3d16c2b0ac868,27,small
68ea6781515d74e07a05f752,20biia,small
68ea6781515d74e07a05f752,20,small
68ea95104ab91286fd620c41,27b,small
68ea95104ab91286fd620c41,27,small
68ea95104ab91286fd620c41,8c,small
68ea95104ab91286fd620c41,20biia,small
68ea95104ab91286fd620c41,20,small
